"","filename","sub","run","ses","task","name","Duration","nTR","Code","muvi_start_volume","muvi_end_volume"
"1","S02_session1_set1_run1-Set1_run1.log","S02","1","1","1","S1ballonD.avi","500083",12,"Action1",6,16
"2","S02_session1_set1_run1-Set1_run1.log","S02","1","1","1","S3breakfastD.avi","790039",19,"Action2",21,38
"3","S02_session1_set1_run1-Set1_run1.log","S02","1","1","1","M1ballonD.avi","510010",12,"Action3",43,53
"4","S02_session1_set1_run1-Set1_run1.log","S02","1","1","1","S6cigaretteD.avi","719969",18,"Action4",58,74
"5","S02_session1_set1_run1-Set1_run1.log","S02","1","1","1","M3breakfastD.avi","790039",19,"Action5",78,95
"6","S02_session1_set1_run1-Set1_run1.log","S02","1","1","1","S7flowersD.avi","820070",20,"Action6",100,118
"7","S02_session1_set1_run1-Set1_run1.log","S02","1","1","1","M6cigaretteD.avi","720053",18,"Action7",122,138
"8","S02_session1_set1_run1-Set1_run1.log","S02","1","1","1","S8frameD.avi","1120036",27,"Action8",142,167
"9","S02_session1_set1_run1-Set1_run1.log","S02","1","1","1","M7flowersD.avi","810059",20,"Action9",172,190
"10","S02_session1_set1_run1-Set1_run1.log","S02","1","1","1","M8frameD.avi","1120036",27,"Action10",194,219
"11","S02_session1_set1_run2-Set1_run2.log","S02","2","1","1","S8frameD.avi","1120036",27,"Action1",6,31
"12","S02_session1_set1_run2-Set1_run2.log","S02","2","1","1","S6cigaretteD.avi","720053",18,"Action2",36,52
"13","S02_session1_set1_run2-Set1_run2.log","S02","2","1","1","M8frameD.avi","1120036",27,"Action3",56,81
"14","S02_session1_set1_run2-Set1_run2.log","S02","2","1","1","S3breakfastD.avi","790039",19,"Action4",86,103
"15","S02_session1_set1_run2-Set1_run2.log","S02","2","1","1","M6cigaretteD.avi","720053",18,"Action5",108,124
"16","S02_session1_set1_run2-Set1_run2.log","S02","2","1","1","S1ballonD.avi","500000",12,"Action6",128,138
"17","S02_session1_set1_run2-Set1_run2.log","S02","2","1","1","M3breakfastD.avi","790039",19,"Action7",143,160
"18","S02_session1_set1_run2-Set1_run2.log","S02","2","1","1","S7flowersD.avi","819986",20,"Action8",165,183
"19","S02_session1_set1_run2-Set1_run2.log","S02","2","1","1","M1ballonD.avi","510010",12,"Action9",187,197
"20","S02_session1_set1_run2-Set1_run2.log","S02","2","1","1","M7flowersD.avi","810059",20,"Action10",202,220
"21","S02_session1_set2_run1-Set2_run1.log","S02","1","1","2","S12letterD.avi","420003",10,"Action1",6,14
"22","S02_session1_set2_run1-Set2_run1.log","S02","1","1","2","S14nailD.avi","489990",12,"Action2",19,29
"23","S02_session1_set2_run1-Set2_run1.log","S02","1","1","2","M12letterD.avi","420003",10,"Action3",33,41
"24","S02_session1_set2_run1-Set2_run1.log","S02","1","1","2","S15juiceD.avi","620036",15,"Action4",46,59
"25","S02_session1_set2_run1-Set2_run1.log","S02","1","1","2","M14nailD.avi","490073",12,"Action5",64,74
"26","S02_session1_set2_run1-Set2_run1.log","S02","1","1","2","S17pillowD.avi","440106",11,"Action6",78,87
"27","S02_session1_set2_run1-Set2_run1.log","S02","1","1","2","M15juiceD.avi","620036",15,"Action7",91,104
"28","S02_session1_set2_run1-Set2_run1.log","S02","1","1","2","S21toastD.avi","649983",16,"Action8",109,123
"29","S02_session1_set2_run1-Set2_run1.log","S02","1","1","2","M17pillowD.avi","440023",11,"Action9",127,136
"30","S02_session1_set2_run1-Set2_run1.log","S02","1","1","2","M21toastD.avi","649983",16,"Action10",140,154
"31","S02_session1_set2_run2-Set2_run2.log","S02","2","1","2","S21toastD.avi","650066",16,"Action1",6,20
"32","S02_session1_set2_run2-Set2_run2.log","S02","2","1","2","S15juiceD.avi","620036",15,"Action2",24,37
"33","S02_session1_set2_run2-Set2_run2.log","S02","2","1","2","M21toastD.avi","650066",16,"Action3",42,56
"34","S02_session1_set2_run2-Set2_run2.log","S02","2","1","2","S14nailD.avi","489990",12,"Action4",60,70
"35","S02_session1_set2_run2-Set2_run2.log","S02","2","1","2","M15juiceD.avi","620036",15,"Action5",74,87
"36","S02_session1_set2_run2-Set2_run2.log","S02","2","1","2","S12letterD.avi","420086",10,"Action6",92,100
"37","S02_session1_set2_run2-Set2_run2.log","S02","2","1","2","M14nailD.avi","489990",12,"Action7",105,115
"38","S02_session1_set2_run2-Set2_run2.log","S02","2","1","2","S17pillowD.avi","440023",11,"Action8",119,128
"39","S02_session1_set2_run2-Set2_run2.log","S02","2","1","2","M12letterD.avi","420003",10,"Action9",132,140
"40","S02_session1_set2_run2-Set2_run2.log","S02","2","1","2","M17pillowD.avi","440023",11,"Action10",145,154
"41","S02_session2_set3_run1-Set3_run1.log","S02","1","2","3","S13lightD.avi","500000",12,"Action1",6,16
"42","S02_session2_set3_run1-Set3_run1.log","S02","1","2","3","S16pencilD.avi","829996",20,"Action2",21,39
"43","S02_session2_set3_run1-Set3_run1.log","S02","1","2","3","M13lightD.avi","510010",12,"Action3",44,54
"44","S02_session2_set3_run1-Set3_run1.log","S02","1","2","3","S18removerD.avi","640056",16,"Action4",59,73
"45","S02_session2_set3_run1-Set3_run1.log","S02","1","2","3","M16pencilD.avi","829996",20,"Action5",77,95
"46","S02_session2_set3_run1-Set3_run1.log","S02","1","2","3","S19sandwichD.avi","760010",19,"Action6",100,117
