Trial,Event Type,Time,start_TR,end_TR,total_TR,Duration,Title,Type,NMov,subject,session,task,run
1,Video,490490,4,16,225,12,S1ballonD.avi,S,1,14,1,1,1
2,Video,1106856,19,38,225,19,S3breakfastD.avi,S,3,14,1,1,1
3,Video,2010843,41,53,225,12,M1ballonD.avi,M,1,14,1,1,1
4,Video,2627210,56,73,225,17,S6cigaretteD.avi,S,6,14,1,1,1
5,Video,3448948,76,95,225,19,M3breakfastD.avi,M,3,14,1,1,1
6,Video,4352935,98,117,225,19,S7flowersD.avi,S,7,14,1,1,1
7,Video,5256922,120,137,225,17,M6cigaretteD.avi,M,6,14,1,1,1
8,Video,6078744,140,167,225,27,S8frameD.avi,S,8,14,1,1,1
9,Video,7311393,170,189,225,19,M7flowersD.avi,M,7,14,1,1,1
10,Video,8215380,192,225,225,33,M8frameD.avi,M,8,14,1,1,1
1,Video,520103,5,17,220,12,S1ballonD.avi,S,1,2,1,1,1
2,Video,1136469,20,39,220,19,S3breakfastD.avi,S,3,2,1,1,1
3,Video,2040455,42,54,220,12,M1ballonD.avi,M,1,2,1,1,1
4,Video,2656821,57,74,220,17,S6cigaretteD.avi,S,6,2,1,1,1
5,Video,3478559,77,96,220,19,M3breakfastD.avi,M,3,2,1,1,1
6,Video,4382546,99,118,220,19,S7flowersD.avi,S,7,2,1,1,1
7,Video,5286532,121,138,220,17,M6cigaretteD.avi,M,6,2,1,1,1
8,Video,6108354,141,168,220,27,S8frameD.avi,S,8,2,1,1,1
9,Video,7341002,171,190,220,19,M7flowersD.avi,M,7,2,1,1,1
10,Video,8244989,193,220,220,27,M8frameD.avi,M,8,2,1,1,1
1,Video,480063,5,27,145,22,S2boatD.avi,S,2,2,2,4,1
2,Video,1507256,30,46,145,16,S4buttonD.avi,S,4,2,2,4,1
3,Video,2288036,49,71,145,22,M2boatD.avi,M,2,2,2,4,1
4,Video,3315229,74,94,145,20,S5cardD.avi,S,5,2,2,4,1
5,Video,4260341,97,113,145,16,M4buttonD.avi,M,4,2,2,4,1
6,Video,5041037,116,145,145,29,M5cardD.avi,M,5,2,2,4,1
1,Video,454871,5,25,145,20,S5cardD.avi,S,5,2,2,4,2
2,Video,1399982,28,44,145,16,S4buttonD.avi,S,4,2,2,4,2
3,Video,2180679,47,67,145,20,M5cardD.avi,M,5,2,2,4,2
4,Video,3125707,70,92,145,22,S2boatD.avi,S,2,2,2,4,2
5,Video,4152983,95,111,145,16,M4buttonD.avi,M,4,2,2,4,2
6,Video,4933680,114,145,145,31,M2boatD.avi,M,2,2,2,4,2
1,Video,473807,5,17,220,12,S1ballonD.avi,S,1,3,1,1,1
2,Video,1090089,20,39,220,19,S3breakfastD.avi,S,3,3,1,1,1
3,Video,1994076,42,54,220,12,M1ballonD.avi,M,1,3,1,1,1
4,Video,2610442,57,74,220,17,S6cigaretteD.avi,S,6,3,1,1,1
5,Video,3432263,77,96,220,19,M3breakfastD.avi,M,3,3,1,1,1
6,Video,4336249,99,118,220,19,S7flowersD.avi,S,7,3,1,1,1
7,Video,5240236,121,138,220,17,M6cigaretteD.avi,M,6,3,1,1,1
8,Video,6061974,141,168,220,27,S8frameD.avi,S,8,3,1,1,1
9,Video,7294706,171,190,220,19,M7flowersD.avi,M,7,3,1,1,1
10,Video,8198692,193,220,220,27,M8frameD.avi,M,8,3,1,1,1
1,Video,460460,5,17,190,12,S13lightD.avi,S,13,3,2,3,1
2,Video,1076826,20,40,190,20,S16pencilD.avi,S,16,3,2,3,1
3,Video,2021855,43,55,190,12,M13lightD.avi,M,13,3,2,3,1
4,Video,2638221,58,73,190,15,S18removerD.avi,S,18,3,2,3,1
5,Video,3377794,76,96,190,20,M16pencilD.avi,M,16,3,2,3,1
6,Video,4322906,99,117,190,18,S19sandwichD.avi,S,19,3,2,3,1
7,Video,5185768,120,135,190,15,M18removerD.avi,M,18,3,2,3,1
8,Video,5925425,138,147,190,9,S22shirtD.avi,S,22,3,2,3,1
9,Video,6418501,150,168,190,18,M19sandwichD.avi,M,19,3,2,3,1
10,Video,7281364,171,190,190,19,M22shirtD.avi,M,22,3,2,3,1
1,Video,449700,5,14,190,9,S22shirtD.avi,S,22,3,2,3,2
2,Video,942776,17,32,190,15,S18removerD.avi,S,18,3,2,3,2
3,Video,1682432,35,44,190,9,M22shirtD.avi,M,22,3,2,3,2
4,Video,2175508,47,67,190,20,S16pencilD.avi,S,16,3,2,3,2
5,Video,3120537,70,85,190,15,M18removerD.avi,M,18,3,2,3,2
6,Video,3860193,88,100,190,12,S13lightD.avi,S,13,3,2,3,2
7,Video,4476559,103,123,190,20,M16pencilD.avi,M,16,3,2,3,2
8,Video,5421588,126,144,190,18,S19sandwichD.avi,S,19,3,2,3,2
9,Video,6284450,147,159,190,12,M13lightD.avi,M,13,3,2,3,2
10,Video,6900817,162,190,190,28,M19sandwichD.avi,M,19,3,2,3,2
1,Video,463046,5,27,145,22,S2boatD.avi,S,2,3,2,4,1
2,Video,1490240,30,46,145,16,S4buttonD.avi,S,4,3,2,4,1
3,Video,2270937,49,71,145,22,M2boatD.avi,M,2,3,2,4,1
4,Video,3298214,74,94,145,20,S5cardD.avi,S,5,3,2,4,1
5,Video,4243243,97,113,145,16,M4buttonD.avi,M,4,3,2,4,1
6,Video,5023940,116,145,145,29,M5cardD.avi,M,5,3,2,4,1
1,Video,455705,5,25,145,20,S5cardD.avi,S,5,3,2,4,2
2,Video,1400734,28,44,145,16,S4buttonD.avi,S,4,3,2,4,2
3,Video,2181431,47,67,145,20,M5cardD.avi,M,5,3,2,4,2
4,Video,3126543,70,92,145,22,S2boatD.avi,S,2,3,2,4,2
5,Video,4153820,95,111,145,16,M4buttonD.avi,M,4,3,2,4,2
6,Video,4934517,114,145,145,31,M2boatD.avi,M,2,3,2,4,2
1,Video,461044,5,17,220,12,S1ballonD.avi,S,1,5,1,1,1
2,Video,1077326,20,39,220,19,S3breakfastD.avi,S,3,5,1,1,1
3,Video,1981313,42,54,220,12,M1ballonD.avi,M,1,5,1,1,1
4,Video,2597679,57,74,220,17,S6cigaretteD.avi,S,6,5,1,1,1
5,Video,3419500,77,96,220,19,M3breakfastD.avi,M,3,5,1,1,1
6,Video,4323487,99,118,220,19,S7flowersD.avi,S,7,5,1,1,1
7,Video,5268515,122,139,220,17,M6cigaretteD.avi,M,6,5,1,1,1
8,Video,6090336,142,169,220,27,S8frameD.avi,S,8,5,1,1,1
9,Video,7322985,172,191,220,19,M7flowersD.avi,M,7,5,1,1,1
10,Video,8226971,194,220,220,26,M8frameD.avi,M,8,5,1,1,1
1,Video,465215,5,32,220,27,S8frameD.avi,S,8,5,1,1,2
2,Video,1697863,35,52,220,17,S6cigaretteD.avi,S,6,5,1,1,2
3,Video,2519684,55,82,220,27,M8frameD.avi,M,8,5,1,1,2
4,Video,3752333,85,104,220,19,S3breakfastD.avi,S,3,5,1,1,2
5,Video,4656320,107,124,220,17,M6cigaretteD.avi,M,6,5,1,1,2
6,Video,5478141,127,139,220,12,S1ballonD.avi,S,1,5,1,1,2
7,Video,6094507,142,161,220,19,M3breakfastD.avi,M,3,5,1,1,2
8,Video,6998493,164,183,220,19,S7flowersD.avi,S,7,5,1,1,2
9,Video,7943521,187,199,220,12,M1ballonD.avi,M,1,5,1,1,2
10,Video,8559887,202,220,220,18,M7flowersD.avi,M,7,5,1,1,2
1,Video,467551,5,27,145,22,S2boatD.avi,S,2,5,2,4,1
2,Video,1494746,30,46,145,16,S4buttonD.avi,S,4,5,2,4,1
3,Video,2275444,49,71,145,22,M2boatD.avi,M,2,5,2,4,1
4,Video,3302723,74,94,145,20,S5cardD.avi,S,5,5,2,4,1
5,Video,4247752,97,113,145,16,M4buttonD.avi,M,4,5,2,4,1
6,Video,5028534,116,145,145,29,M5cardD.avi,M,5,5,2,4,1
1,Video,549077,5,17,195,12,S13lightD.avi,S,13,6,2,3,1
2,Video,1165413,20,40,195,20,S16pencilD.avi,S,16,6,2,3,1
3,Video,2110463,43,55,195,12,M13lightD.avi,M,13,6,2,3,1
4,Video,2726799,58,73,195,15,S18removerD.avi,S,18,6,2,3,1
5,Video,3466403,76,96,195,20,M16pencilD.avi,M,16,6,2,3,1
6,Video,4411536,99,117,195,18,S19sandwichD.avi,S,19,6,2,3,1
