"contrast","sub","ses","task","run","muvi","start_TR","end_TR","dim4","ISC_flavour","JU","D_bins","n_bins","n_muvis","n_sub","tc_mean_unfolded"
"Motion","sub_02","ses_01",1,1,"M1ballonD.avi",42,54,220,"ANOVA_M_S",35,1,6,36,9,"c(-0.338204307965091, -0.643522228525864, -0.827722447238362, 1.53672250831928, -1.14182500383185, 0.0466507618676994, 2.00097238982413, 0.760875038044546, -1.0488805803006, -0.480141565322651, -0.24573965781053, 0.380815092939247)"
"Motion","sub_02","ses_01",1,1,"M1ballonD.avi",42,54,220,"ANOVA_M_S",35,2,6,36,9,"c(0.0203309376010299, -1.30360120985495, -1.3473653029837, 1.02712935991406, -0.144804789150499, -1.43560621688965, 1.11502502593159, 0.320265040666293, -0.0151387057841342, 1.57380388996336, -0.408461054909979, 0.598423025496584)"
"Motion","sub_02","ses_01",1,1,"M1ballonD.avi",42,54,220,"ANOVA_M_S",35,3,6,36,9,"c(0.623744503715396, 1.21805719387802, -0.639726021877499, -0.635967775444371, -0.823512821122438, -1.20451890528421, 1.01394198585137, -0.339930672245208, -1.6194631895443, 0.464166257316027, 0.574892049343081, 1.36831739541413)"
"Motion","sub_02","ses_01",1,1,"M1ballonD.avi",42,54,220,"ANOVA_M_S",35,5,6,36,9,"c(-0.266617482021195, -0.206154125590613, -0.860644430057338, -1.97957366399561, 0.711916060505696, 1.59179960618445, 0.479582840074976, 1.17314866666859, 0.407944970727083, -0.126234136189106, -1.15891186220107, 0.233743555894135)"
"Motion","sub_02","ses_01",1,1,"M1ballonD.avi",42,54,220,"ANOVA_M_S",65,1,6,36,9,"c(1.08372177438786, -1.03878441764343, 0.0696830952893207, 0.678532518194052, -0.478455599347455, 1.69096167820932, -0.215467814144271, 0.558444939478328, -0.325534526622512, 0.542450656696321, -2.03888424430724, -0.526668060190271)"
"Motion","sub_02","ses_01",1,1,"M1ballonD.avi",42,54,220,"ANOVA_M_S",65,2,6,36,9,"c(1.67851302190505, -1.11605553060194, -0.281192830206137, 0.415758075248928, -0.620045651467423, -0.772553559444822, -0.732187069149454, 0.962782234077678, 1.66362369441174, 0.118566505592409, -1.20244509883441, -0.114763791531694)"
"Motion","sub_02","ses_01",1,1,"M1ballonD.avi",42,54,220,"ANOVA_M_S",65,3,6,36,9,"c(0.67655746090223, -0.00430399749285834, 1.61992953823606, -1.19213971777122, 0.311309925150089, -0.362312808296776, 0.0457877336288773, -0.839068974602533, 0.49932005554866, -0.844764225008493, 1.56069146611385, -1.47100645640786)"
"Motion","sub_02","ses_01",1,1,"M1ballonD.avi",42,54,220,"ANOVA_M_S",65,4,6,36,9,"c(0.134590226390691, 0.0806350142497906, 1.8815858396112, -1.15937222503281, 0.813861934554207, 0.180795301102216, 0.478700043665192, -1.03707402473967, -1.95247841283859, 0.317982737554743, -0.137804737642249, 0.398578303125264)"
"Motion","sub_02","ses_01",1,1,"M1ballonD.avi",42,54,220,"ANOVA_M_S",65,5,6,36,9,"c(-1.19926913718483, -0.866964413220118, 0.146348310332054, -0.308417270256101, 0.683153296522686, 0.319849101167022, -1.74000198256242, -0.970732914348544, 0.655594064414078, 1.26070564295623, 1.22873792885291, 0.790997373327022)"
"Motion","sub_02","ses_01",1,1,"M3breakfastD.avi",77,96,220,"ANOVA_M_S",35,1,6,36,9,"c(0.869507213079532, 0.0398999736667325, -1.0788157020469, 1.36813810955193, 0.0245253296506633, 0.625073734640909, 0.0538080870380029, 1.31501339798425, 1.10686855348886, 0.428157944541994, 0.0899964792650232, -1.51920644456925, -0.74995689456928, -1.01144279151141, -0.687597485687815, 1.30584071461354, -0.917526497494319, -1.84701271402665, 0.584728992384084)"
"Motion","sub_02","ses_01",1,1,"M3breakfastD.avi",77,96,220,"ANOVA_M_S",35,2,6,36,9,"c(-0.173946458580561, -0.530359875564786, 1.03398037629187, 1.52549221594921, 0.759887964451866, 0.33831788530304, -0.108230636871615, -0.286848985723394, -0.996065574734928, 1.38991766848241, 0.523496862805401, 0.120714721016144, -2.96399799887399, -0.678981479066232, -0.362621729094781, -0.0878800561724979, -0.504163295079799, 0.7769666226356, 0.224321772827043)"
"Motion","sub_02","ses_01",1,1,"M3breakfastD.avi",77,96,220,"ANOVA_M_S",35,3,6,36,9,"c(-0.495480010808269, 0.460744346067576, -1.38401037546553, -0.152566764073628, 0.401206941165676, -0.0441422892093289, -1.45817150108982, 1.84578838619192, 1.18339787498332, -0.297158229001311, 1.20830912424259, 1.46725235899783, -1.48095618029037, 0.885396126847449, -0.777741206464291, -0.693825834003351, 0.319551459188513, -0.217620574759912, -0.769973652519085)"
"Motion","sub_02","ses_01",1,1,"M3breakfastD.avi",77,96,220,"ANOVA_M_S",35,5,6,36,9,"c(1.73487785793915, 0.922889795308343, -0.311240485363228, -1.72041974318256, -1.31052534099923, 0.557633817721509, 0.234311157630729, -0.277069106837246, 1.39096894478634, -0.967970367209707, 0.270333982409883, -1.51260598776852, -1.34415070917809, 0.0694354341839678, 0.972950906423299, 0.58569098901022, 0.60289447238363, 0.381848973836896, -0.279854591095386)"
"Motion","sub_02","ses_01",1,1,"M3breakfastD.avi",77,96,220,"ANOVA_M_S",65,1,6,36,9,"c(-0.180756050040275, 0.486923772248316, -1.4618121193494, -0.266472719661306, 1.77631027874073, 0.733458603746494, -1.37796856714559, 0.681450176148761, 0.175674155134288, -0.357456171387342, -0.296400210875039, -0.680004467804986, -0.842800184272176, -1.61726439743343, 0.681370572034374, 1.72395089481577, 1.34414148491424, -0.100306360134786, -0.422038689678662)"
"Motion","sub_02","ses_01",1,1,"M3breakfastD.avi",77,96,220,"ANOVA_M_S",65,2,6,36,9,"c(-1.61894018653315, 1.15353225530957, 0.709618088676723, -1.27551603158874, 0.507809261239931, -0.131333276651582, 0.954382604842461, -0.330738426398431, 0.906224200768785, -0.132543432720396, -1.8302841274384, -0.411027068707629, -1.02370952627983, 0.658637811061751, 0.429661355614349, 1.74821405174751, -0.491426680292812, 0.89026877416019, -0.71282964681038)"
"Motion","sub_02","ses_01",1,1,"M3breakfastD.avi",77,96,220,"ANOVA_M_S",65,3,6,36,9,"c(-0.616487727690718, 0.998551367718729, 1.14717326991086, -0.469551455996693, 0.0300482029303245, 0.238647638051402, -0.00266745233798176, -0.756587242118542, 1.11141307674047, 1.3279570470311, -2.30053607241497, -0.17797008175637, -0.638420632213625, -1.07135511464049, 0.982825747790637, 1.15187225694109, 0.826600863927657, -0.804402480715987, -0.977111211156914)"
"Motion","sub_02","ses_01",1,1,"M3breakfastD.avi",77,96,220,"ANOVA_M_S",65,4,6,36,9,"c(-1.66329939006767, 0.271466420959838, -0.279826003091508, 1.18322056121075, 0.829006467642895, 0.872129428913729, 1.55129484774116, -1.11144334610741, 0.214790900251836, -1.41554518971256, -0.0285983850382011, -1.77245742605954, -0.156173289545134, 1.4475051445204, 0.612530911987707, -0.143098984825518, 0.0121378012965643, -0.841979744645226, 0.418339274567873)"
"Motion","sub_02","ses_01",1,1,"M3breakfastD.avi",77,96,220,"ANOVA_M_S",65,5,6,36,9,"c(0.438907488030884, 0.183899974440888, 1.20738138883402, 0.464422281096568, -0.726710348158534, 0.593424938993141, 2.4405289355673, 0.642513402705957, 0.689954909484037, -1.11546039845234, -0.302960054600784, -0.877350517049038, -1.09224594443886, 0.320862372770308, -0.465232361633934, -0.112193008523165, 0.168022531117048, -0.308155096838579, -2.14961049334494)"
"Motion","sub_02","ses_01",1,1,"M6cigaretteD.avi",121,138,220,"ANOVA_M_S",35,1,6,36,9,"c(-0.81270326519591, -1.0557129816109, 1.02121416276124, 0.209553674083846, -1.02996015952477, 2.19130466149269, -0.0746286682503418, 0.485436301360758, -0.827417903677077, -0.174604817681535, 1.92720947805459, -0.333935147510317, -1.38333548507291, -0.169358585008464, 0.499074319204601, -0.544899173048507, 0.0727635896229571)"
"Motion","sub_02","ses_01",1,1,"M6cigaretteD.avi",121,138,220,"ANOVA_M_S",35,2,6,36,9,"c(-0.0654336051646645, -0.117144495749316, 1.53802011269377, -0.421441731513699, 0.624810658923538, 0.881959290911641, -1.59541770629025, -0.202429860609177, -0.288855244568563, -2.189266530872, 0.895557734925739, -0.560565506848251, -0.777946647572118, -0.424235137499205, 0.629928863916167, 1.4617802992833, 0.610679506033074)"
"Motion","sub_02","ses_01",1,1,"M6cigaretteD.avi",121,138,220,"ANOVA_M_S",35,3,6,36,9,"c(-0.762833343897211, -0.978706391338155, -0.282579705645237, 0.585169159517734, 1.83224290898268, 1.46115022122551, 0.0877510540847254, -1.67469249990428, -1.26047918427562, 0.0513753167565982, 0.767002861477797, 1.07444503776708, -1.13246965262083, -0.149020189024789, -0.310290268878041, -0.27008521061616, 0.962019886388207)"
